"Table 8: Stores Ranked by Total Dollar Sales, RY 2013–14"														
Transaction Avg. Value of														
Rank Store12 City Address Count Transaction Dollar Sales		store_text	text2	Store Number	LicenseeOrFulfillmentCenter	test	test	test	text	text2	AvgVal_text	AvgValueOfTransaction	DollarSales	TransactionCount
11	"621 Wyomissing Berkshire Mall West 1101 Woodland Rd 298,032 $44.18 $13,165,927.80"	621 	"621 Wyomissing Berkshire Mall West 1101 Woodland Rd 298,032 $44.18 $13,165,927.80"	621 	0				"$44.18 $13,165,927.80"	"$13,165,927.80"	$44.18	$44.18	"$13,165,927.80"	298006.5143
12	"4623 Flourtown 1440 Bethlehem Pike 256,612 $48.18 $12,362,637.09"	4623 	"4623 Flourtown 1440 Bethlehem Pike 256,612 $48.18 $12,362,637.09"	4623 	0				"$48.18 $12,362,637.09"	"$12,362,637.09"	$48.18	$48.18	"$12,362,637.09"	256592.7167
13	"2102 Lemoyne West Shore Plz Shopping Ctr 1200 Market St 278,509 $43.82 $12,204,191.13"	2102 	"2102 Lemoyne West Shore Plz Shopping Ctr 1200 Market St 278,509 $43.82 $12,204,191.13"	2102 	0				"$43.82 $12,204,191.13"	"$12,204,191.13"	$43.82	$43.82	"$12,204,191.13"	278507.3284
14	"926 Doylestown 132 Veterans Ln 274,616 $43.94 $12,066,874.92"	926 	"926 Doylestown 132 Veterans Ln 274,616 $43.94 $12,066,874.92"	926 	0				"$43.94 $12,066,874.92"	"$12,066,874.92"	$43.94	$43.94	"$12,066,874.92"	274621.6413
15	"1007 Cranberry Twp Cranberry Mall, Rm 302A 20111 Rt 19 237,892 $50.25 $11,954,295.56"	1007 	"1007 Cranberry Twp Cranberry Mall, Rm 302A 20111 Rt 19 237,892 $50.25 $11,954,295.56"	1007 	0				"$50.25 $11,954,295.56"	"$11,954,295.56"	$50.25	$50.25	"$11,954,295.56"	237896.4291
16	"1405 State College 1690 N Atherton St 282,108 $41.59 $11,732,962.58"	1405 	"1405 State College 1690 N Atherton St 282,108 $41.59 $11,732,962.58"	1405 	0				"$41.59 $11,732,962.58"	"$11,732,962.58"	$41.59	$41.59	"$11,732,962.58"	282110.1847
17	"4628 Conshohocken Whitemarsh Shopping Ctr 44 Ridge Pike 290,010 $38.95 $11,296,116.94"	4628 	"4628 Conshohocken Whitemarsh Shopping Ctr 44 Ridge Pike 290,010 $38.95 $11,296,116.94"	4628 	0				"$38.95 $11,296,116.94"	"$11,296,116.94"	$38.95	$38.95	"$11,296,116.94"	290015.8393
18	"5185 Philadelphia 180 W Girard Ave 317,568 $35.20 $11,176,922.43"	5185 	"5185 Philadelphia 180 W Girard Ave 317,568 $35.20 $11,176,922.43"	5185 	0				"$35.20 $11,176,922.43"	"$11,176,922.43"	$35.20	$35.20	"$11,176,922.43"	317526.2054
19	"4620 King Of Prussia 143 S Gulph Rd 168,634 $66.27 $11,175,794.64"	4620 	"4620 King Of Prussia 143 S Gulph Rd 168,634 $66.27 $11,175,794.64"	4620 	0				"$66.27 $11,175,794.64"	"$11,175,794.64"	$66.27	$66.27	"$11,175,794.64"	168640.3296
20	"909 Newtown 10 W Centre Ave 245,761 $44.98 $11,054,184.26"	909 	"909 Newtown 10 W Centre Ave 245,761 $44.98 $11,054,184.26"	909 	0				"$44.98 $11,054,184.26"	"$11,054,184.26"	$44.98	$44.98	"$11,054,184.26"	245757.7648
21	"6316 Washington Washington Mall 301 Oak Spring Rd 207,849 $52.30 $10,871,325.73"	6316 	"6316 Washington Washington Mall 301 Oak Spring Rd 207,849 $52.30 $10,871,325.73"	6316 	0				"$52.30 $10,871,325.73"	"$10,871,325.73"	$52.30	$52.30	"$10,871,325.73"	207864.7367
22	"231 Pittsburgh Robinson Town Centre 1850 Park Manor Blvd 243,164 $44.04 $10,709,812.16"	231 	"231 Pittsburgh Robinson Town Centre 1850 Park Manor Blvd 243,164 $44.04 $10,709,812.16"	231 	0				"$44.04 $10,709,812.16"	"$10,709,812.16"	$44.04	$44.04	"$10,709,812.16"	243183.7457
23	"4814 Easton Northampton Crossings 3718 Easton-Nazareth Hwy 275,021 $38.91 $10,700,439.51"	4814 	"4814 Easton Northampton Crossings 3718 Easton-Nazareth Hwy 275,021 $38.91 $10,700,439.51"	4814 	0				"$38.91 $10,700,439.51"	"$10,700,439.51"	$38.91	$38.91	"$10,700,439.51"	275004.8705
24	"2210 Harrisburg Kmart Shopping Ctr 5070 Jonestown Rd 277,487 $38.33 $10,637,258.76"	2210 	"2210 Harrisburg Kmart Shopping Ctr 5070 Jonestown Rd 277,487 $38.33 $10,637,258.76"	2210 	0				"$38.33 $10,637,258.76"	"$10,637,258.76"	$38.33	$38.33	"$10,637,258.76"	277517.8388
25	"5104 Philadelphia Columbus Commons North Shopping Ctr 1940 S Christopher Columbus Blvd 257,268 $41.13 $10,580,293.38"	5104 	"5104 Philadelphia Columbus Commons North Shopping Ctr 1940 S Christopher Columbus Blvd 257,268 $41.13 $10,580,293.38"	5104 	0				"$41.13 $10,580,293.38"	"$10,580,293.38"	$41.13	$41.13	"$10,580,293.38"	257240.2961
26	"3901 Allentown Crest Plz Shopping Ctr 1516 N Cedar Crest Blvd 238,302 $43.10 $10,271,448.14"	3901 	"3901 Allentown Crest Plz Shopping Ctr 1516 N Cedar Crest Blvd 238,302 $43.10 $10,271,448.14"	3901 	0				"$43.10 $10,271,448.14"	"$10,271,448.14"	$43.10	$43.10	"$10,271,448.14"	238316.6622
27	"3516 Clarks Summit 222 Northern Blvd, Ste C 215,284 $47.19 $10,158,397.96"	3516 	"3516 Clarks Summit 222 Northern Blvd, Ste C 215,284 $47.19 $10,158,397.96"	3516 	0				"$47.19 $10,158,397.96"	"$10,158,397.96"	$47.19	$47.19	"$10,158,397.96"	215265.9029
28	"4631 Norristown Swede Sq Shopping Ctr 2927 Swede Rd 261,233 $38.78 $10,131,270.99"	4631 	"4631 Norristown Swede Sq Shopping Ctr 2927 Swede Rd 261,233 $38.78 $10,131,270.99"	4631 	0				"$38.78 $10,131,270.99"	"$10,131,270.99"	$38.78	$38.78	"$10,131,270.99"	261249.8966
29	"3614 Lancaster Hawthorne Centre Shopping Ctr 2076 Fruitville Pike 276,819 $36.59 $10,129,395.97"	3614 	"3614 Lancaster Hawthorne Centre Shopping Ctr 2076 Fruitville Pike 276,819 $36.59 $10,129,395.97"	3614 	0				"$36.59 $10,129,395.97"	"$10,129,395.97"	$36.59	$36.59	"$10,129,395.97"	276835.0907
30	"9101 Philadelphia 2040 Market St 284,103 $35.32 $10,035,023.24"	9101 	"9101 Philadelphia 2040 Market St 284,103 $35.32 $10,035,023.24"	9101 	0				"$35.32 $10,035,023.24"	"$10,035,023.24"	$35.32	$35.32	"$10,035,023.24"	284117.3058
31	"940* Feasterville 855B Pennsylvania Blvd 6,429 $1,503.71 $9,667,380.30"	940* 	"940  Feasterville 855B Pennsylvania Blvd 6,429 $1,503.71 $9,667,380.30"	940 	1				"$1,503.71 $9,667,380.30"	"$9,667,380.30"	"$1,503.71"	"$1,503.71"	"$9,667,380.30"	6429.019093
32	"4633 Lansdale Allen Forge Shopping Ctr 850 S Valley Forge Rd 276,847 $34.74 $9,618,541.63"	4633 	"4633 Lansdale Allen Forge Shopping Ctr 850 S Valley Forge Rd 276,847 $34.74 $9,618,541.63"	4633 	0				"$34.74 $9,618,541.63"	"$9,618,541.63"	$34.74	$34.74	"$9,618,541.63"	276872.2404
33	"4613 Jenkintown 935 Old York Rd 243,709 $39.16 $9,543,142.51"	4613 	"4613 Jenkintown 935 Old York Rd 243,709 $39.16 $9,543,142.51"	4613 	0				"$39.16 $9,543,142.51"	"$9,543,142.51"	$39.16	$39.16	"$9,543,142.51"	243696.1826
34	"227 Monroeville 3845 Northern Pike 232,017 $40.86 $9,480,898.78"	227 	"227 Monroeville 3845 Northern Pike 232,017 $40.86 $9,480,898.78"	227 	0				"$40.86 $9,480,898.78"	"$9,480,898.78"	$40.86	$40.86	"$9,480,898.78"	232033.744
35	"6707 York Eastern Boulevard Shopping Ctr 2414 Eastern Blvd 265,543 $35.24 $9,357,971.79"	6707 	"6707 York Eastern Boulevard Shopping Ctr 2414 Eastern Blvd 265,543 $35.24 $9,357,971.79"	6707 	0				"$35.24 $9,357,971.79"	"$9,357,971.79"	$35.24	$35.24	"$9,357,971.79"	265549.7103
36	"2211 Hummelstown Hershey Sq Shopping Ctr 1158 Mae St 165,986 $56.13 $9,317,011.09"	2211 	"2211 Hummelstown Hershey Sq Shopping Ctr 1158 Mae St 165,986 $56.13 $9,317,011.09"	2211 	0				"$56.13 $9,317,011.09"	"$9,317,011.09"	$56.13	$56.13	"$9,317,011.09"	165989.8644
37	"4817* Bethlehem 3084 Emrick Blvd (Rear) 8,151 $1,079.62 $8,799,989.69"	4817* 	"4817  Bethlehem 3084 Emrick Blvd (Rear) 8,151 $1,079.62 $8,799,989.69"	4817 	1				"$1,079.62 $8,799,989.69"	"$8,799,989.69"	"$1,079.62"	"$1,079.62"	"$8,799,989.69"	8151.006549
38	"260 Pittsburgh 1955 Wharton St 276,994 $31.60 $8,751,853.84"	260 	"260 Pittsburgh 1955 Wharton St 276,994 $31.60 $8,751,853.84"	260 	0				"$31.60 $8,751,853.84"	"$8,751,853.84"	$31.60	$31.60	"$8,751,853.84"	276957.4
39	"3913 Whitehall 2503 Mickley Ave 265,673 $32.71 $8,689,149.76"	3913 	"3913 Whitehall 2503 Mickley Ave 265,673 $32.71 $8,689,149.76"	3913 	0				"$32.71 $8,689,149.76"	"$8,689,149.76"	$32.71	$32.71	"$8,689,149.76"	265641.9982
40	"4606 Maple Glen Maple Glen Shopping Ctr 1973 Norristown Rd 190,227 $45.49 $8,653,770.20"	4606 	"4606 Maple Glen Maple Glen Shopping Ctr 1973 Norristown Rd 190,227 $45.49 $8,653,770.20"	4606 	0				"$45.49 $8,653,770.20"	"$8,653,770.20"	$45.49	$45.49	"$8,653,770.20"	190234.5614
41	"1404 State College Hamilton Sq Shopping Ctr 230 W Hamilton Ave 159,804 $54.02 $8,633,243.61"	1404 	"1404 State College Hamilton Sq Shopping Ctr 230 W Hamilton Ave 159,804 $54.02 $8,633,243.61"	1404 	0				"$54.02 $8,633,243.61"	"$8,633,243.61"	$54.02	$54.02	"$8,633,243.61"	159815.6907
42	"920 Quakertown Quakertown Shopping Ctr 1465 W Broad St, Ste 19 273,972 $31.46 $8,618,221.06"	920 	"920 Quakertown Quakertown Shopping Ctr 1465 W Broad St, Ste 19 273,972 $31.46 $8,618,221.06"	920 	0				"$31.46 $8,618,221.06"	"$8,618,221.06"	$31.46	$31.46	"$8,618,221.06"	273942.1825
43	"9208 Wexford 125 Towne Centre Dr, Ste 500 173,742 $49.50 $8,600,397.55"	9208 	"9208 Wexford 125 Towne Centre Dr, Ste 500 173,742 $49.50 $8,600,397.55"	9208 	0				"$49.50 $8,600,397.55"	"$8,600,397.55"	$49.50	$49.50	"$8,600,397.55"	173745.4051
44	"3918 Center Valley The Promenade Shops At Saucon Valley 3060 Ctr Valley Pkwy, Ste 835 156,770 $54.29 $8,511,622.14"	3918 	"3918 Center Valley The Promenade Shops At Saucon Valley 3060 Ctr Valley Pkwy, Ste 835 156,770 $54.29 $8,511,622.14"	3918 	0				"$54.29 $8,511,622.14"	"$8,511,622.14"	$54.29	$54.29	"$8,511,622.14"	156780.662
45	"2310 Springfield 149 Baltimore Pike 304,516 $27.39 $8,340,240.74"	2310 	"2310 Springfield 149 Baltimore Pike 304,516 $27.39 $8,340,240.74"	2310 	0				"$27.39 $8,340,240.74"	"$8,340,240.74"	$27.39	$27.39	"$8,340,240.74"	304499.4794
46	"1501 Exton 275 Main St 185,559 $44.19 $8,200,129.27"	1501 	"1501 Exton 275 Main St 185,559 $44.19 $8,200,129.27"	1501 	0				"$44.19 $8,200,129.27"	"$8,200,129.27"	$44.19	$44.19	"$8,200,129.27"	185565.2697
47	"3616* Lancaster 1190 Dillerville Rd 7,301 $1,111.38 $8,114,176.45"	3616* 	"3616  Lancaster 1190 Dillerville Rd 7,301 $1,111.38 $8,114,176.45"	3616 	1				"$1,111.38 $8,114,176.45"	"$8,114,176.45"	"$1,111.38"	"$1,111.38"	"$8,114,176.45"	7300.991965
48	"2514 Erie Yorktown Centre 2501 W 12th St 186,630 $43.31 $8,083,410.63"	2514 	"2514 Erie Yorktown Centre 2501 W 12th St 186,630 $43.31 $8,083,410.63"	2514 	0				"$43.31 $8,083,410.63"	"$8,083,410.63"	$43.31	$43.31	"$8,083,410.63"	186640.7442
49	"277 Pittsburgh 8090 Mcintyre Sq Dr 218,284 $36.36 $7,935,768.53"	277 	"277 Pittsburgh 8090 Mcintyre Sq Dr 218,284 $36.36 $7,935,768.53"	277 	0				"$36.36 $7,935,768.53"	"$7,935,768.53"	$36.36	$36.36	"$7,935,768.53"	218255.4601
50	"4610 Collegeville Market Place Shopping Ctr 201 2nd Ave, Ste 107 198,742 $39.87 $7,923,492.08"	4610 	"4610 Collegeville Market Place Shopping Ctr 201 2nd Ave, Ste 107 198,742 $39.87 $7,923,492.08"	4610 	0				"$39.87 $7,923,492.08"	"$7,923,492.08"	$39.87	$39.87	"$7,923,492.08"	198733.1849
51	"932 Warrington 1115 Main St 203,109 $38.51 $7,822,026.05"	932 	"932 Warrington 1115 Main St 203,109 $38.51 $7,822,026.05"	932 	0				"$38.51 $7,822,026.05"	"$7,822,026.05"	$38.51	$38.51	"$7,822,026.05"	203116.7502
52	"222* Bridgeville United Industr Park, Bldg D 98 Vanadium Rd 5,765 $1,337.25 $7,709,259.70"	222* 	"222  Bridgeville United Industr Park, Bldg D 98 Vanadium Rd 5,765 $1,337.25 $7,709,259.70"	222 	1				"$1,337.25 $7,709,259.70"	"$7,709,259.70"	"$1,337.25"	"$1,337.25"	"$7,709,259.70"	5765.010058
53	"6315 Mcmurray Donaldsons Crossroads S C 3929 Washington Rd 196,439 $38.91 $7,644,351.20"	6315 	"6315 Mcmurray Donaldsons Crossroads S C 3929 Washington Rd 196,439 $38.91 $7,644,351.20"	6315 	0				"$38.91 $7,644,351.20"	"$7,644,351.20"	$38.91	$38.91	"$7,644,351.20"	196462.3799
54	"4614 Bala Cynwyd 119 West City Ave 230,981 $32.41 $7,487,030.34"	4614 	"4614 Bala Cynwyd 119 West City Ave 230,981 $32.41 $7,487,030.34"	4614 	0				"$32.41 $7,487,030.34"	"$7,487,030.34"	$32.41	$32.41	"$7,487,030.34"	231009.884
55	"2305 Media 315 W Baltimore Ave 218,566 $34.16 $7,467,028.13"	2305 	"2305 Media 315 W Baltimore Ave 218,566 $34.16 $7,467,028.13"	2305 	0				"$34.16 $7,467,028.13"	"$7,467,028.13"	$34.16	$34.16	"$7,467,028.13"	218589.8165
56	"912 New Hope Logan Sq Shopping Ctr 6542-J Lower York Rd 128,235 $57.71 $7,399,806.45"	912 	"912 New Hope Logan Sq Shopping Ctr 6542-J Lower York Rd 128,235 $57.71 $7,399,806.45"	912 	0				"$57.71 $7,399,806.45"	"$7,399,806.45"	$57.71	$57.71	"$7,399,806.45"	128223.9898
57	"1506 Downingtown Ashbridge Shopping Ctr 861 E Lancaster Ave 211,182 $34.58 $7,301,986.24"	1506 	"1506 Downingtown Ashbridge Shopping Ctr 861 E Lancaster Ave 211,182 $34.58 $7,301,986.24"	1506 	0				"$34.58 $7,301,986.24"	"$7,301,986.24"	$34.58	$34.58	"$7,301,986.24"	211162.1238
58	"6517 Greensburg Westmoreland Crossing 5280 Rte 30, Ste 4 171,906 $42.17 $7,250,121.03"	6517 	"6517 Greensburg Westmoreland Crossing 5280 Rte 30, Ste 4 171,906 $42.17 $7,250,121.03"	6517 	0				"$42.17 $7,250,121.03"	"$7,250,121.03"	$42.17	$42.17	"$7,250,121.03"	171926.0382
59	"4645 Limerick Limerick Village 200 West Ridge Pike 187,552 $38.49 $7,219,653.59"	4645 	"4645 Limerick Limerick Village 200 West Ridge Pike 187,552 $38.49 $7,219,653.59"	4645 	0				"$38.49 $7,219,653.59"	"$7,219,653.59"	$38.49	$38.49	"$7,219,653.59"	187572.1899
60	"284 Pittsburgh Bill Green Shopping Ctr 10 Old Clairton Rd 207,923 $34.60 $7,194,206.36"	284 	"284 Pittsburgh Bill Green Shopping Ctr 10 Old Clairton Rd 207,923 $34.60 $7,194,206.36"	284 	0				"$34.60 $7,194,206.36"	"$7,194,206.36"	$34.60	$34.60	"$7,194,206.36"	207925.0393
61	"9205 Pittsburgh 1602 Cochran Rd 200,823 $34.79 $6,986,487.63"	9205 	"9205 Pittsburgh 1602 Cochran Rd 200,823 $34.79 $6,986,487.63"	9205 	0				"$34.79 $6,986,487.63"	"$6,986,487.63"	$34.79	$34.79	"$6,986,487.63"	200818.8454
62	"604 Reading 4721 Perkiomen Ave. 214,692 $32.54 $6,985,031.06"	604 	"604 Reading 4721 Perkiomen Ave. 214,692 $32.54 $6,985,031.06"	604 	0				"$32.54 $6,985,031.06"	"$6,985,031.06"	$32.54	$32.54	"$6,985,031.06"	214659.8359
63	"1527 Wayne 821 W Lancaster Ave, Ste 310 133,264 $52.06 $6,937,349.60"	1527 	"1527 Wayne 821 W Lancaster Ave, Ste 310 133,264 $52.06 $6,937,349.60"	1527 	0				"$52.06 $6,937,349.60"	"$6,937,349.60"	$52.06	$52.06	"$6,937,349.60"	133256.8114
64	"6711 Hanover Hanover Crossing Shopping Ctr 431 Eisenhower Dr 194,865 $35.08 $6,835,507.33"	6711 	"6711 Hanover Hanover Crossing Shopping Ctr 431 Eisenhower Dr 194,865 $35.08 $6,835,507.33"	6711 	0				"$35.08 $6,835,507.33"	"$6,835,507.33"	$35.08	$35.08	"$6,835,507.33"	194854.827
65	"911 Fairless Hills 510 S Oxford Valley Rd, Bldg 8 257,454 $26.46 $6,812,434.83"	911 	"911 Fairless Hills 510 S Oxford Valley Rd, Bldg 8 257,454 $26.46 $6,812,434.83"	911 	0				"$26.46 $6,812,434.83"	"$6,812,434.83"	$26.46	$26.46	"$6,812,434.83"	257461.6338
66	"5191 Philadelphia 2401 Vare Ave 282,644 $24.03 $6,792,908.11"	5191 	"5191 Philadelphia 2401 Vare Ave 282,644 $24.03 $6,792,908.11"	5191 	0				"$24.03 $6,792,908.11"	"$6,792,908.11"	$24.03	$24.03	"$6,792,908.11"	282684.4823
67	"2516 Erie Liberty Plaza Shopping Ctr 3702 Liberty St 231,139 $29.26 $6,762,797.48"	2516 	"2516 Erie Liberty Plaza Shopping Ctr 3702 Liberty St 231,139 $29.26 $6,762,797.48"	2516 	0				"$29.26 $6,762,797.48"	"$6,762,797.48"	$29.26	$29.26	"$6,762,797.48"	231127.7334
68	"1528 Paoli Paoli Shopping Ctr 17-19 Leopard Rd, Ste D-1, D-2 & D-3 160,630 $42.09 $6,761,464.00"	1528 	"1528 Paoli Paoli Shopping Ctr 17-19 Leopard Rd, Ste D-1, D-2 & D-3 160,630 $42.09 $6,761,464.00"	1528 	0				"$42.09 $6,761,464.00"	"$6,761,464.00"	$42.09	$42.09	"$6,761,464.00"	160643.0031
69	"6712 York Commerce Ctr 2148 White St, Ste 3 232,602 $28.92 $6,726,856.06"	6712 	"6712 York Commerce Ctr 2148 White St, Ste 3 232,602 $28.92 $6,726,856.06"	6712 	0				"$28.92 $6,726,856.06"	"$6,726,856.06"	$28.92	$28.92	"$6,726,856.06"	232602.2151
70	"1514 Wayne 161 E Swedesford Rd 184,219 $35.96 $6,623,986.56"	1514 	"1514 Wayne 161 E Swedesford Rd 184,219 $35.96 $6,623,986.56"	1514 	0				"$35.96 $6,623,986.56"	"$6,623,986.56"	$35.96	$35.96	"$6,623,986.56"	184204.2981
71	"3801 Lebanon 102 N 8th Ave 214,206 $30.33 $6,496,223.79"	3801 	"3801 Lebanon 102 N 8th Ave 214,206 $30.33 $6,496,223.79"	3801 	0				"$30.33 $6,496,223.79"	"$6,496,223.79"	$30.33	$30.33	"$6,496,223.79"	214184.7606
72	"2101 Carlisle Carlisle Marketplace 281 S Spring Garden St 222,898 $29.14 $6,496,051.02"	2101 	"2101 Carlisle Carlisle Marketplace 281 S Spring Garden St 222,898 $29.14 $6,496,051.02"	2101 	0				"$29.14 $6,496,051.02"	"$6,496,051.02"	$29.14	$29.14	"$6,496,051.02"	222925.5669
73	"2801 Chambersburg Wayne Plz 987 Wayne Ave 185,277 $34.44 $6,381,021.40"	2801 	"2801 Chambersburg Wayne Plz 987 Wayne Ave 185,277 $34.44 $6,381,021.40"	2801 	0				"$34.44 $6,381,021.40"	"$6,381,021.40"	$34.44	$34.44	"$6,381,021.40"	185279.367
74	"3615 Lancaster Bridgeport Shopping Ctr 1622 Lincoln Hwy East 228,735 $27.64 $6,323,179.06"	3615 	"3615 Lancaster Bridgeport Shopping Ctr 1622 Lincoln Hwy East 228,735 $27.64 $6,323,179.06"	3615 	0				"$27.64 $6,323,179.06"	"$6,323,179.06"	$27.64	$27.64	"$6,323,179.06"	228769.1411
75	"4306 Hermitage Hermitage Towne Plz 2321 E State St 169,083 $36.99 $6,254,647.70"	4306 	"4306 Hermitage Hermitage Towne Plz 2321 E State St 169,083 $36.99 $6,254,647.70"	4306 	0				"$36.99 $6,254,647.70"	"$6,254,647.70"	$36.99	$36.99	"$6,254,647.70"	169090.2325
76	"1530 West Chester Bradford Plz Sc 692 Downingtown Pike 201,588 $30.91 $6,231,073.44"	1530 	"1530 West Chester Bradford Plz Sc 692 Downingtown Pike 201,588 $30.91 $6,231,073.44"	1530 	0				"$30.91 $6,231,073.44"	"$6,231,073.44"	$30.91	$30.91	"$6,231,073.44"	201587.6234
77	"4003 Dallas 2161 Memorial Hwy, Ste 101 162,925 $38.23 $6,228,503.46"	4003 	"4003 Dallas 2161 Memorial Hwy, Ste 101 162,925 $38.23 $6,228,503.46"	4003 	0				"$38.23 $6,228,503.46"	"$6,228,503.46"	$38.23	$38.23	"$6,228,503.46"	162921.8797
78	"4502 Mt Pocono Pocono Village Mall 3430 Rte 940, Ste 101 218,287 $28.49 $6,219,381.49"	4502 	"4502 Mt Pocono Pocono Village Mall 3430 Rte 940, Ste 101 218,287 $28.49 $6,219,381.49"	4502 	0				"$28.49 $6,219,381.49"	"$6,219,381.49"	$28.49	$28.49	"$6,219,381.49"	218300.5086
79	"5140 Philadelphia 2401 E Venango St 254,840 $24.18 $6,162,744.56"	5140 	"5140 Philadelphia 2401 E Venango St 254,840 $24.18 $6,162,744.56"	5140 	0				"$24.18 $6,162,744.56"	"$6,162,744.56"	$24.18	$24.18	"$6,162,744.56"	254869.5021
80	"4632 North Wales Gwynedd Crossing Sc 1200 Bethlehem Pike, Ste 7 163,560 $37.59 $6,148,450.26"	4632 	"4632 North Wales Gwynedd Crossing Sc 1200 Bethlehem Pike, Ste 7 163,560 $37.59 $6,148,450.26"	4632 	0				"$37.59 $6,148,450.26"	"$6,148,450.26"	$37.59	$37.59	"$6,148,450.26"	163566.1149
81	"9118 Philadephia Ivy Ridge Shopping Ctr 7146 Ridge Ave 221,761 $27.62 $6,125,784.05"	9118 	"9118 Philadephia Ivy Ridge Shopping Ctr 7146 Ridge Ave 221,761 $27.62 $6,125,784.05"	9118 	0				"$27.62 $6,125,784.05"	"$6,125,784.05"	$27.62	$27.62	"$6,125,784.05"	221787.9815
82	"6714 Shrewsbury Shrewsbury Commons Shopping Ctr 802 Shrewsbury Commons Ave 145,585 $42.02 $6,118,074.24"	6714 	"6714 Shrewsbury Shrewsbury Commons Shopping Ctr 802 Shrewsbury Commons Ave 145,585 $42.02 $6,118,074.24"	6714 	0				"$42.02 $6,118,074.24"	"$6,118,074.24"	$42.02	$42.02	"$6,118,074.24"	145599.1014
83	"1525 Exton Lionville Shopping Ctr 162 Eagleview Blvd 181,355 $33.71 $6,114,178.13"	1525 	"1525 Exton Lionville Shopping Ctr 162 Eagleview Blvd 181,355 $33.71 $6,114,178.13"	1525 	0				"$33.71 $6,114,178.13"	"$6,114,178.13"	$33.71	$33.71	"$6,114,178.13"	181375.7974
