Table5: RY2012-13 SalesbyCountyandCategory inDollars
County BoxWine Brandy&Cognac Cocktails&Mixers Cordials DessertWine Gin Rum Asian&Sake SparkingWine TableWine Tequila Vodka Whiskey CountyTotals
Pike $425,121 $143,179 $98,114 $467,364 $64,646 $120,573 $371,789 $12,096 $155,574 $2,366,239 $143,307 $1,096,164 $892,222 $6,356,385
Potter $72,189 $28,914 $21,947 $159,591 $5,892 $24,929 $140,995 $577 $16,502 $221,989 $18,453 $172,434 $270,439 $1,154,851
Schuylkill $659,512 $323,036 $246,293 $1,429,114 $143,978 $253,160 $1,284,919 $9,511 $288,443 $2,820,741 $230,181 $1,904,440 $1,917,483 $11,510,810
Snyder $135,200 $37,787 $47,988 $286,327 $15,938 $53,872 $355,053 $2,211 $57,664 $599,227 $64,723 $441,948 $386,776 $2,484,714
Somerset $205,640 $85,271 $64,326 $553,539 $26,676 $71,789 $547,443 $2,333 $85,160 $959,102 $83,451 $665,413 $924,232 $4,274,375
Sullivan $45,650 $27,080 $12,677 $88,705 $8,731 $16,678 $78,326 $832 $10,176 $148,402 $15,022 $118,748 $194,453 $765,479
Susquehanna $157,698 $85,100 $38,273 $383,150 $32,107 $50,251 $251,791 $1,136 $40,386 $583,901 $72,481 $446,058 $642,541 $2,784,873
Tioga $191,246 $66,886 $59,801 $515,515 $23,425 $86,415 $497,290 $1,063 $49,793 $753,389 $75,894 $513,713 $868,650 $3,703,079
Union $242,255 $56,217 $64,552 $379,418 $32,144 $119,463 $442,530 $5,828 $180,095 $1,551,588 $110,110 $692,401 $681,224 $4,557,825
Venango $191,629 $101,657 $82,298 $528,212 $22,919 $77,579 $529,673 $2,437 $70,753 $803,501 $80,702 $651,043 $883,046 $4,025,449
Warren $214,075 $71,032 $54,378 $491,103 $21,697 $77,856 $516,377 $1,489 $51,173 $678,857 $59,532 $579,149 $821,357 $3,638,074
Washington $1,178,294 $413,250 $385,797 $2,565,579 $173,664 $548,549 $2,531,704 $29,237 $673,217 $8,091,695 $715,573 $5,135,285 $5,299,835 $27,741,680
Wayne $639,475 $190,550 $131,741 $925,333 $120,753 $241,921 $715,532 $10,386 $260,658 $3,605,878 $209,067 $1,928,330 $1,530,813 $10,510,437
Westmoreland $2,538,581 $693,247 $770,344 $4,940,044 $336,483 $976,638 $4,788,792 $39,141 $1,212,841 $14,458,817 $1,169,829 $8,988,647 $9,114,538 $50,027,943
Wyoming $164,973 $61,229 $36,373 $286,408 $23,651 $58,651 $231,789 $1,089 $43,976 $556,209 $58,374 $411,519 $488,786 $2,423,027
York $2,739,756 $1,310,702 $774,694 $5,069,908 $395,412 $989,686 $5,663,018 $57,980 $1,223,175 $13,903,433 $1,223,361 $8,717,094 $7,294,237 $49,362,457
CategoryTotal $86,754,439 $55,960,817 $27,037,261 $146,562,854 $17,627,014 $43,548,604 $149,305,514 $2,990,501 $56,836,340 $632,585,842 $48,438,142 $347,949,450 $265,115,776 $1,880,712,552
